start,end,ra,dec,BH,DM
512696,512788,278.9684133746905,15.552868332020749,0.0002691155826563979,0.0001770239242681513
512789,512855,281.79180058981143,16.1613075846646,0.00019534663305847077,0.00012479635106012627
512856,512928,281.4206984815628,16.96906948542826,0.00020664559033272445,0.00013454800263724997
512929,513016,280.6307348484268,17.82218491598447,0.0002406016686149458,0.00016068551994970963
513017,513045,285.5588741191257,16.127732603480087,8.783243130707458e-05,5.2875766315886396e-05
513046,513072,286.6836906630461,15.771404576678318,8.324912481072774e-05,4.924229704532127e-05
513073,513101,287.55797401380255,16.324223349582468,8.845509681715917e-05,5.2184602430318914e-05
513102,513140,288.2827035252402,16.989947637370033,0.00011708206422320603,6.920000821989947e-05
513141,513175,286.5222139867359,16.874164521312064,0.00010397384527762262,6.288135932310989e-05
513176,513215,285.28657973971826,17.239131574039412,0.00011621252140458446,7.199690212593902e-05
513216,513249,287.16247092100707,17.891903611075215,9.823033520741808e-05,5.9969329492912454e-05
513250,513288,287.28235135950234,18.307636843763255,0.00011129442897688451,6.830904817303978e-05
513289,513348,289.78530090098513,18.357111085070855,0.00017428281863922235,0.00010343619194475416
513349,513383,291.27998052889296,19.27719283559055,9.973306160821824e-05,5.9002232382457985e-05
513384,513422,289.80989235597093,19.508953062060783,0.00010910713763042921,6.615726791587373e-05
513423,513465,288.2972834128784,19.581977837642526,0.00011863717284334724,7.354449142571754e-05
513466,513508,289.65254326270286,20.41662755616961,0.00011664737486678938,7.210192761434027e-05
513509,513555,287.0162794062831,19.672981202057613,0.00012811877900758696,8.087222919750605e-05
513556,513608,284.262271295549,18.50397214132983,0.00014649084741712905,9.415638942842784e-05
513609,513660,285.4420752077586,19.550819484187556,0.00014034733116835178,9.04200973648588e-05
513661,513732,282.86299323389323,19.53804525989795,0.00019014395256319863,0.0001268460281568364
513733,513797,284.32006294720344,20.733451879663512,0.00016728417981382168,0.00011172701005916187
513798,513845,286.8695980892326,20.689601766522372,0.00012631756734566543,8.148198254625799e-05
513846,513888,288.17194877304496,21.658440324340155,0.00011077529811431825,7.148505106137604e-05
513889,513939,287.0082381774073,22.009682625557208,0.00012872631070589118,8.490626917077112e-05
513940,514006,285.988784047046,22.465290663532745,0.00016529047325878927,0.0001114141614274867
514007,514100,279.65056518954304,19.0699595730306,0.0002461868881375312,0.00016896212182533269
514101,514251,275.6117099248996,16.963623079741126,0.00040355265129786086,0.00028451616667003114
514252,514384,277.5125304471421,18.358328017361696,0.0003467145284577997,0.0002437086947485352
514385,514511,278.23274985900525,19.635282941329585,0.00032015744883186605,0.00022765532949005232
514512,514696,274.62375319030747,19.382214505035265,0.0004532391259463737,0.00033644180712452193
514697,514899,273.7124403748111,20.503134632578842,0.000475379617751777,0.0003635457797632473
514900,515083,275.7887538421442,22.40609718160998,0.00041508391702359585,0.0003184245426456544
515084,515176,281.91805124264835,21.27797313676019,0.0002302879451194203,0.00016035503201243433
515177,515288,280.73151749920896,22.313165417976514,0.0002654434953945849,0.00019108534481158317
515289,515386,282.86359257639106,23.391775990771187,0.0002286754495862732,0.00016312629887317443
515387,515471,284.8374225262946,24.48074889128044,0.00019472745515907973,0.0001381125028120722
515472,515583,283.43367949225836,25.473555586279552,0.00024578389166216046,0.00018054208654812924
515584,515740,278.78074278911873,24.01866442568529,0.00034632279466482275,0.0002629796137805061
515741,515911,279.33087067894314,25.766912062588222,0.00035865425316627725,0.00027856986673323054
515912,516082,281.1541872593854,27.66442083806628,0.00034348590043335584,0.00026944213163617223
516083,516513,260.1573073502008,13.264941049615773,0.0010711455897306418,0.0008682542188173647
516514,517081,257.7927616279211,15.485828087635396,0.0012710569435823208,0.0010972507570217124
517082,517446,264.2974689939814,17.373440741281343,0.0008440670344540869,0.0006918508078352281
517447,517863,264.01002275677234,19.581949015735294,0.0008972702409569304,0.0007625255086348092
517864,518434,258.3417161599507,19.46876480791133,0.0011432565725701862,0.0010341842346601486
518435,519247,253.4870805975799,20.484169894606772,0.0014748598355952686,0.0014325318369320468
519248,519942,258.64703041502173,24.107955898331607,0.001219945823156284,0.0011764442962939122
519943,520394,263.56876274042526,24.788015751373806,0.0008383838677681532,0.0007610929070931875
520395,520696,272.27385895698507,24.376581127069873,0.000617763136499072,0.0005110043150846708
520697,521112,268.37108896901066,25.406380497882164,0.0007905838778486025,0.000695703713423304
521113,521421,273.5212699246434,27.351687626354735,0.0005843705093130625,0.000498411202336696
521422,521692,277.91053025313977,29.566595046464343,0.0004988180002714144,0.00041958856322781197
521693,522063,273.90862791017025,30.49887037937729,0.0006396810687418966,0.0005715381616214863
522064,522550,268.1957365758796,29.62563294896203,0.0008151593360716049,0.0007635557802933005
522551,523221,264.05877123554757,30.913997859767864,0.0010319677680779788,0.0010331426485939831
523222,523751,270.6549221803387,34.11509770767939,0.00079602807854372,0.0007783626048741416
523752,524427,173.4140964280113,11.323008767197914,0.0009219074634939832,0.0009617202551299899
524428,525308,44.366027153468664,-83.58436215266978,0.0011226633175476202,0.0012506373732899222
525309,526199,68.8948145803909,-78.84576279496923,0.0009738016380813198,0.0011675757572624295
526200,527232,28.4473291181972,-78.25005700706377,0.001190310259320334,0.0014341274998278448
527233,528422,44.14042735271261,-72.7752238156157,0.0011210593923440338,0.0015096560058095896
528423,528606,80.91687873492015,-75.28631467562745,0.0001841314028076135,0.00022861556731099957
528607,528723,83.52450643610395,-73.62071746161587,0.00011295164849186104,0.00014233595174586658
528724,528763,85.5540934034303,-72.16553142212192,3.740582180913021e-05,4.776075436602907e-05
528764,528815,79.60012044659462,-72.52957705487947,4.815216330328696e-05,6.245104937119012e-05
528816,528849,79.39375856814992,-71.63110656088696,3.073227755794637e-05,4.039344721358931e-05
528850,528870,80.35903639661763,-70.94190821118897,1.8697435580446153e-05,2.4732311110796765e-05
528871,528887,78.13037316635544,-70.54679396925701,1.4881827011599897e-05,1.9946286035321322e-05
528888,528971,70.88910240312161,-73.40729990538064,7.829193906377647e-05,0.00010254782334374365
528972,529167,67.13235699614187,-71.79053813305406,0.00017402114955235136,0.00023560195960437523
529168,529216,72.41147104688905,-70.66065360656842,4.245703256971198e-05,5.779899181269639e-05
529217,529234,75.1529550752527,-70.08251761505578,1.5446516201250335e-05,2.104172697496155e-05
529235,529246,75.44476959891878,-69.36060519762657,1.0113200802916319e-05,1.390674751533163e-05
529247,529270,72.79550351732105,-69.25217212117359,2.004729323310351e-05,2.7837167161445853e-05
529271,529377,68.75505391966698,-68.99146904605085,8.819343625199224e-05,0.00012426132745174462
529378,529437,77.12840781008686,-69.41949741360511,5.152836019494126e-05,6.975258767891183e-05
529438,529452,85.2909123534264,-70.93131391952069,1.3586643056203639e-05,1.7644347589489156e-05
529453,529464,85.22567211264526,-70.38139402263457,1.071970203455918e-05,1.4022767545722734e-05
529465,529485,87.04844972513577,-70.12963318849937,1.8796249159992867e-05,2.4468737034982935e-05
529486,529515,87.12362911850698,-69.49058586439033,2.6446128171460526e-05,3.468955478114952e-05
529516,529538,84.84117537507309,-68.9940450190341,1.983492650870269e-05,2.644226222861672e-05
529539,529547,81.70424798095398,-70.18562471330232,7.895038434711961e-06,1.049930454243598e-05
529548,529556,81.96243635843035,-69.77325442961791,7.821022497375438e-06,1.04473826110187e-05
529557,529566,81.68707161631592,-69.3110768036944,8.581539668829849e-06,1.1545909763270986e-05
529567,529575,79.63469967359939,-69.52564079393944,7.710342932320637e-06,1.0425498516274567e-05
529576,529584,78.27379950984846,-69.23675438995609,7.621077646332078e-06,1.0396923069482014e-05
529585,529596,79.23596620268034,-68.74114256772606,1.006569301078404e-05,1.3775942408471879e-05
529597,529615,81.63434727808259,-68.61059839591049,1.6024713339033453e-05,2.1759771958195276e-05
529616,529648,80.99009547842736,-67.92921437411471,2.730234243375025e-05,3.750368478491197e-05
529649,529696,85.61988952328483,-67.95005068731678,4.058278758720708e-05,5.4539914119195934e-05
529697,529734,86.23969252096927,-67.51326491267261,3.1833925192741814e-05,4.293687183825846e-05
529735,529791,86.9350149716188,-66.32210000026714,4.660907170202635e-05,6.353146027560023e-05
529792,529822,82.88015093300773,-66.84665783687763,2.516878881219846e-05,3.4772305142695324e-05
529823,529870,81.26727175357152,-65.960903911774,3.789932920335849e-05,5.333012218491218e-05
529871,529921,81.54329370718015,-64.88112788297042,3.9308239526799264e-05,5.5979373453563674e-05
529922,529933,76.03407142705389,-68.67915885197233,9.95281547583348e-06,1.3791312154410034e-05
529934,529952,76.24562040273494,-67.99363943107814,1.549589911189035e-05,2.1661276962571135e-05
529953,529979,73.78297236174632,-67.6382162174057,2.167960523052221e-05,3.0714527786191444e-05
529980,530011,76.73142859512433,-66.90988695402183,2.5436853384668085e-05,3.6022192900151874e-05
530012,530057,74.26529857257971,-66.34978104646856,3.5806023950792144e-05,5.155513012205432e-05
530058,530195,71.87289318966168,-65.56430800818111,0.00010476642892224507,0.0001536894196521379
530196,530460,73.51093779246662,-64.14859843561312,0.0001960126686238668,0.0002905503891392362
530461,531931,59.729818301399995,-64.96865598024843,0.0010943664992074922,0.001660937813195748
531932,532692,51.75929213343361,-63.59562220945901,0.0006006907437123919,0.0008851993286125533
532693,532720,12.004352541232844,-73.79953218626754,3.1182542100149825e-05,3.92761031613419e-05
532721,532732,13.58165766375935,-73.18843643643775,1.3068185176489945e-05,1.6679269744816836e-05
532733,532878,22.675129847371565,-73.12130005204631,0.0001503370307224925,0.00019670264413548393
532879,533020,18.81825470880385,-72.03196089324196,0.0001469810090660456,0.0001926693258339143
533021,533074,6.384918592142283,-73.34567486835812,6.210510309428982e-05,7.716565675207194e-05
533075,533135,9.229756898430796,-72.36609217145303,6.763337203323208e-05,8.584867014925549e-05
533136,533286,10.32095914643916,-71.38839421750161,0.00016332919539685436,0.0002105755571201711
533287,534680,29.00550153729771,-67.25665998723969,0.001228182422184232,0.0017620556276619066
534681,536599,21.02315844986718,-62.92464425480122,0.0016406158465392413,0.002428925507358698
536600,538835,47.83735450345419,-57.33034019423316,0.0014132059467982065,0.002415084994211173
538836,540697,42.29564571669787,-50.6845675484292,0.0010438658274040356,0.001936241076588924
540698,540804,86.95306164618366,-63.903698034057925,8.285099022272563e-05,0.00011606903895481578
540805,541066,85.22789744177881,-61.86757938589824,0.00019221057857386802,0.00027804163537630043
541067,542174,81.8208183760774,-57.76474100227523,0.0007323344654920663,0.0011282791347501427
542175,543911,71.87892263121394,-53.610204276706376,0.0010063978187262086,0.0017123856206101105
543912,545536,76.81608495525063,-48.232228558000095,0.0008696282910067936,0.0015166943577025764
545537,546921,83.72106312363395,-42.73417140690201,0.0007028526621692709,0.001225014760864878
546922,548657,75.9141272172337,-39.0847563273628,0.0007843925722357141,0.0014986111682949565
548658,551055,61.29184316327482,-43.94744108583033,0.001128556259438781,0.002217368182330437
551056,553777,57.85928542309286,-37.737737159301076,0.0011430570158825317,0.0024161757673567146
553778,556045,67.44727039535637,-30.23773070887593,0.0008653370890681125,0.0018598450735895
556046,558249,42.957180348050066,-43.81563085970262,0.001423605390876608,0.0023595446551658242
558250,560858,15.792798996657716,-52.687645943051024,0.00194068109682826,0.003165575793518235
560859,563991,32.26614163653777,-44.44649995893902,0.001669796409380037,0.003252051030157925
563992,567098,20.449174837529387,-41.8720284672841,0.0018860336597940667,0.003442845712121021
567099,570398,13.424456710539246,-37.75444040962082,0.0020129391023618794,0.0037069994164304282
570399,574043,25.930366231518228,-29.65377276971036,0.001654691945947952,0.0035589972216229326
574044,577144,44.93706419627568,-29.666866176289645,0.001181487348192064,0.002722147804106593
577145,580138,55.67238438707365,-21.906652125207213,0.0010131155401919068,0.0024057236115796604
580139,583797,43.5461020591938,-19.44083018569688,0.0012681605048704809,0.0030587788357115137
583798,587647,39.37976434273993,-14.52442911170276,0.0013022868868899239,0.003196067901958787
587648,590065,40.09134594924496,-15.167172406413862,0.0010335831150604404,0.002065316039170878
590066,590595,134.9687185751147,-84.16426883509533,0.0007690155734614967,0.0007628083844078941
590596,591022,147.90949164093186,-81.44389534464318,0.0006394209810465941,0.000610193375293937
591023,591341,167.03063165118974,-78.8189910833704,0.0005322105989865533,0.0004670756906995551
591342,591700,149.71831756673666,-77.77765104178334,0.0005395147049688777,0.000499908014217725
591701,592140,129.5506209040139,-78.67074216353342,0.0005973266340423659,0.0005971068822545197
592141,592752,113.44323372828468,-77.86421213324944,0.0007432181293560236,0.0007994898493816692
592753,593174,129.01136861592428,-75.0404347838415,0.0005419281353007814,0.0005477622970467019
593175,593448,140.24785490088837,-72.48373028357769,0.0003772804530018594,0.00035637177119496007
593449,593784,130.97974220426497,-71.401686749341,0.00042170421471643497,0.00042166189306453924
593785,594023,147.35675303174727,-72.0203499445804,0.00035860951177576084,0.00032135341024314433
594024,594204,169.6814712490269,-74.58162754548232,0.00032047667063276616,0.000263120054584081
594205,594331,174.44456451864718,-72.79628080644173,0.00023905581691783926,0.00018696184074770952
594332,594444,168.05047467698853,-71.69711776299526,0.00020323064154719614,0.00016137380751052587
594445,594613,158.29421631290336,-72.82254904836947,0.0002746785206654933,0.00023369274833429736
594614,594744,158.63136797834625,-71.00261754136892,0.0002156083953518063,0.00017944365782005645
594745,594837,162.4990055915284,-69.60597168934241,0.0001607791363026802,0.00012839474695329852
594838,594930,158.18661519413075,-68.57885831681845,0.00015417974495435114,0.00012524523316977479
594931,595013,173.34978556844487,-70.2750570303135,0.00015992283967135312,0.00012091531793659245
595014,595074,176.34316419740097,-69.37964851419815,0.00012253768749416604,8.972700574833137e-05
595075,595145,170.60680973471474,-69.29149670625182,0.00013438372952588007,0.00010155224846198892
